,Unnamed: 0,company,job_title,listing_id,address,employment_type,seniority,min_exp,job_cat,salary_range,salary_unit,date_posted,date_expiry,job_description,avg_salary
0,0,DELIVERY HERO APAC PTE. LIMITED,analyst,MCF-2021-0240128,"CROSS STREET EXCHANGE, 18 CROSS STREET 048423",full time,Junior Executive,2,information technology,"$5,000to$8,500",Monthly,Posted 27 May 2021,Closing on 26 Jun 2021,"Roles & Responsibilities
We are looking for a Data Analyst to support our growing Regional team here in Singapore, as part of an international team of highly talented and motivated people. To thrive in this role, you will need the technical expertise to navigate a complex and ever-changing data infrastructure as well as the ability to communicate effectively and persuasively to a non-technical audience.
What you will love doing:
Work within with the newly formed regional data team (data analysts, data engineers, machine learning engineers) as well as key business stakeholders to deliver insights, reports, visualization, analysis and predictive models
Perform ad-hoc analyses to support cross functional projects, working closely with the global leadership team
Define, implement, monitor business KPIs, provide data driven insight to the business
Who you are:
2-4 years experience in data analytics / business intelligence
Strong oral and written communication skills
Strong business mindset and ability to grasp business requirements from stakeholders
Champion of data and visualization with strong presentation and story-telling skills
Ability to write clean, structured, and high performance SQL code
Knowledge and experienced with BI tools (Tableau, Data Studio) is a plus
Knowledge with big data, Data Warehouse technologies, Python or R, is a plus
foodpanda is operated by the Delivery Hero Group (“ DH Group ”), the global leader in the food delivery industry, processing over 4 million orders daily, operating in 40+ markets, with over 25,000 employees and approximately 600,000+ restaurant partners worldwide.",6750.0
1,1,HELIUS TECHNOLOGIES PTE. LTD.,analyst,MCF-2021-0238815,Islandwide,full time,Senior Executive,6,information technology,"$6,800to$9,000",Monthly,Posted 27 May 2021,Closing on 26 Jun 2021,"Roles & Responsibilities
Title: Senior Data Analyst

Should have bachelor’s degree in data analytics or equivalent.
Knowledge & practices of SDLC process and agile methodologies
Strong in user requirements gathering, maintenance, and support.
Highly organized, self-motivated, pro-active, and able to plan.
Should have completed at least 2 end-to-end data analytics projects that start from data source integration to data visualization delivery
Should have knowledge of below technologies :Apache Hive
Oracle database (DML and DDL type of SQL)
Microsoft SQL Server (Transact-SQL DML and DDL)
Informatica Data Engineering Integration
Hue
Linux scripting
Exposure and knowledge in any of the following technologies is advantageous:
RESTful Data API
AWS, azure
Data Visualisation - Qliksense, PowerBI
Data Storage & Processing – SnowFlake, Hadoop, synapse
Data Virtualisation - Denodo
Python
Java/Scala
Shell Script

Thanks and Best Regards
Karanam Vijaya Kiran
(EA Registration no: R1443178)
Recruitment Manager
Helius Technologies Pte Ltd (EA Licence No: 11C3373)
36, Robinson Road, #13-05, City House, Singapore 068877
Email: vijay@helius-tech.com
http://www.helius-tech.com",7900.0
2,2,COMFORTDELGRO CORPORATION LIMITED,analyst,MCF-2021-0190739,205 BRADDELL ROAD 579701,full time,Senior Executive,2,others,"$4,500to$7,000",Monthly,Posted 28 Apr 2021,Closing on 28 May 2021,"Roles & Responsibilities
Who are We Looking For
We are seeking a Data Analyst with a proven track record of delivering impact and value to business through insights. Your work will influence business decisions that will drive the operations, customer engagement, stakeholder management and asset management of the organization across a wide range of industries and business use cases. You will work towards promoting and enabling a data-centric approach among internal stakeholders and ensure the proper metrics are being used in tracking and improving key business parameters. This role requires an inquisitive individual with an eye for detail and passion for numbers and how they influence business decisions. It is also important for you to have strong communication and collaborative skills in engaging stakeholders and be able to solve their pain points through the data insights you provide.
What will You Do
· Collaborate with stakeholders to obtain a clear understanding of their business pain points and develop the appropriate data products to support their business decisions
· Collate available data sources and evaluate definitions and limitations, before implementing ETL processes to build the relevant datasets
· Design and build data products and dashboards to enable stakeholders to visualize data insights, and train them to be able to derive the answers they seek themselves
· Define and create processes to ensure stakeholders can efficiently track key metrics on a regular frequency, depending on the business use case
· Work closely with technology vendors to develop and refine data products and coordinate with internal teams to enhance the quality and richness of the data lake
What will You Bring
· 2 to 5 years of experience in data analyst role, with a bachelor’s degree specialising in business analytics, preferably in a large organization with business units operating across different industries
· Proficient in data analytics tools, and possesses plenty of hands-on experience with data visualisation products
· Track record of delivering data products that cater to stakeholder requirements and making sure analysis and reports are fit for purpose
· Strong communication skills with the ability to articulate complex concepts in a simple and succinct manner
· Critical thinker and a creative problem solver; able to evaluate a problem across different facets and develop solutions that work
· Meticulous and conscientious in your approach to work, delivering high quality work that is error free
· Excellent time management and task prioritisation skills",5750.0
3,3,DARAZ SINGAPORE PRIVATE LIMITED,analyst,MCF-2021-0240086,"AXA TOWER, 8 SHENTON WAY 068811",full time,Senior Executive,3,information technology,"$6,000to$9,000",Monthly,Posted 27 May 2021,Closing on 26 Jun 2021,"Roles & Responsibilities
We are looking for a data analyst with superior analytical, SQL & Excel abilities to join the Strategy & Planning team at Daraz. The right candidate will have excellent technical, problem-solving and communication skills, and be able to find practical solutions to complex problems.
You should be able to thrive in a fast-paced environment and be ready to immerse yourself into your work. This is an exciting opportunity to join a unique team, in a fast-growing multinational company.
KEY RESPONSIBILITIES
· Extract, deep-dive into, & manipulate large sets of data organized, in a well-structured data warehouse designed for exploration and functionality
· Use your problem-solving and critical thinking skills to identify trends, conduct root cause analyses, and generate high-impact, ad-hoc analyses.
· Build, maintain and produce reports and dashboards that give key insights to colleagues from all departments at Daraz, including senior management
· Work with the S&P manager and different teams across the company to innovate and implement tools to drive business performance improvement and cost efficiencies
· Develop detailed targets, forecasts, and business models so that strategic and business targets are met
BASIC QUALIFICATIONS
· BSc degree from a top university in a quantitative subject - a background in business intelligence, data science, mathematics, economics, quantitative finance, computer science or engineering preferred
· At least 1 year of data analytics experience
· Go-getter attitude, willing to immerse themselves in the business, with a proactive approach to getting things done
· Superior organizational skills to manage multiple priorities, and the flexibility to adapt to changing scope and evolving business requirements
· Outstanding analytical, problem solving, and organizational skills to manage priorities with tight deadlines without compromising quality
· Excellent verbal and written communication skills; fluent in English
· Advanced skills in Microsoft Excel and proficiency in SQL are essential
· Experience configuring data visualization tools such as PowerBI, Tableau or Qlikview is required
· Prior experience working with large sets of data is strongly preferred
· Prior experience working with automation tools such as Python or macros, is preferred
· Prior experience with data warehouses, data cubes, and reporting dashboard is preferred",7500.0
4,4,BIPO SERVICE (SINGAPORE) PTE. LTD.,analyst,MCF-2021-0240396,Islandwide,full time,Manager,5,banking and finance,"$9,000to$15,000",Monthly,Posted 27 May 2021,Closing on 26 Jun 2021,"Roles & Responsibilities
Job Description:
Leading through example: Overseeing high performing, multidisciplinary members of the Data & Analytics team, you will design and build complex visualisations and analytical models to understand the impact of various market or operational changes to our business.
You will work closely with the operational and functional areas to identify, prioritise and deliver on their most pressing and impactful analytical use case; turning complex findings into simple visualisations and recommendations for execution.
Analyze and interpret large (PB-scale) volumes of transactional, operational and customer data using proprietary and open source data tools, platforms and analytical tool kits.
Be part of a fast-paced industry and organisation where time to market is critical.

Requirements:
A degree in a quantitative discipline, as Mathematics, Statistics, Actuarial Sciences, Computer Science, Engineering or Life Sciences.
Minimum 5 - 8 years of industry experience applying advanced analytics.
Demonstrated experience in the application of analytical techniques to guide operational improvements, scheduling, asset utilisation or investment decisions; and of supervising the work of others, preferably analytics or engineering roles.
A desire and ability to think abstractly, solve problems and deal with ambiguity.
Enthusiasm and drive to be a leader in our team, helping shape and develop its future.
Strong communication, presentation, project management and time management skills.
Advanced competency in two or more of the following:
Analytical software (e.g. R, SAS);
Data visualisation tools (e.g. Qlikview, Tableau, PowerBI,);
A relational or graph database management tool (e.g. SQL, NoSQL, Neo4J);
Programming. (e.g. VBA, C++, Java, Python).",12000.0
5,5,PAN-UNITED CORPORATION LTD.,analyst,MCF-2021-0240104,Islandwide,full time,Fresh/entry level,0,information technology,"$2,600to$4,500",Monthly,Posted 27 May 2021,Closing on 26 Jun 2021,"Roles & Responsibilities
Job Responsibilities:
Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Create predictive, prescriptive and/or explanatory models
Generate actionable insights for business improvements
Research and understand the latest technologies to define new process improvement opportunities
Job Requirements:
Bachelor's degree in Computer Science/ Information Technology or equivalent
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Proficient in a programming language (Python, Java, SQL)
Experience/Knowledge in Operation Research (OR) is would be an advantage
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Additional experience in data visualization and/or knowledge of reinforcement learning is a plus",3550.0
6,6,ADECCO PERSONNEL PTE LTD,analyst,MCF-2021-0240039,Islandwide,full time,Executive,1,information technology,"$4,600to$5,800",Monthly,Posted 27 May 2021,Closing on 26 Jun 2021,"Roles & Responsibilities
The Talent
Min degree in any discipline.
Strong web analytical and problem-solving skills
Experience in customer problem analysis.
Hands-on experience in quantitative analysis is required.
Outstanding relationship-building and problem-solving skills.
Good grasped in the geographical aspect of Korea is a must
Knowledge of cartography and geography is an added advantage.
The Job
Analysing and grading large sets of data relevant to SG/Korea Market
Investigating and providing feedback on issues reported
Validating and correcting data from external sources
Required to be proficient in written & spoken Korean language for liaising with Korea counterparts
Next Step
If you are interested in this job opportunity, please send your resume to junyong.teng@adecco.com and indicate the below information in your resume:
Current & Expected salary
Reason(s) for leaving
Availability to commence work
We regret only shortlisted candidates will be notified.
EA Licence Number: 91C2918 | Registration Number: R1329337",5200.0
7,7,STHREE PTE. LTD.,analyst,MCF-2021-0239399,"CROSS STREET EXCHANGE, 18 CROSS STREET 048423",contract,Professional,8,banking and finance,"$12,000to$13,000",Monthly,Posted 27 May 2021,Closing on 26 Jun 2021,"Roles & Responsibilities
The Financial Markets (FM) Data Management team is looking for a candidate to fill the role of Senior Business Analyst. The successful candidate will be part of the data management team, providing.
· a simple & scalable data architecture, minimising inefficiencies, and costs for the CIO
· a pool of SME resources for defining data requirements, optimal solution design and facilitating delivery for SCB’s Programmes and Projects
· a simplified engagement model for programmes, data managers and consumers

Key Roles & Responsibilities
· Work with stakeholders across business and technology to elicit, clarify, translate, and simplify data requirements.
· Provide solution design support for data provision and consumption.
· Establish best practice and govern data management.
· Co-ordinate and support development and testing work related to data requirements.
· Provide business cases and insights into opportunities for cost and control improvements related to data provision and consumption.
Qualifications & Skills
· Excellent verbal communication skills; facilitating working meetings, building credibility and trust with stakeholders, negotiating contentious issues with stakeholders and escalating issues as promptly.
· Excellent business documenting skills, able to convey complex information with objectivity and brevity.
· Critical thinking and problem solving; architecting and explaining multiple solutions, assessing relative strengths and weaknesses, and justifying solutions for approval.
· Strong Financial Markets / Investment Bank experience; able to analyse business problems and design operating models producing process flow diagrams, and risk assessments.
· Experienced in understanding and explaining information level issues, utilising architecture diagrams, entity relationship diagrams, data dictionaries & maps.
· Capable of working with large datasets, familiar with data profiling, basic SQL.
· Self-motivated and able to work independently.
· Familiar with data quality management framework
· Technical understanding of xml, fmpl, data and data models
· Some technical experience with development and / or database design and management
· Familiar with agile methodologies for project delivery
· Understanding of modern databases technologies and familiar with programming languages used for data management and analysis (e.g., python)",12500.0
8,8,ZENITH INFOTECH (S) PTE LTD.,analyst,MCF-2021-0240313,Islandwide,contract,Professional,1,information technology,"$3,500to$4,000",Monthly,Posted 27 May 2021,Closing on 26 Jun 2021,"Roles & Responsibilities
Role: Data Migration Analyst
This is a 12 months contract role assigned to our client

Work Location : Thomson Road
Salary Range : $3,500-$4,000

Job Description
1. Work with customers in gathering business requirements for data migration needs.

2. Work across multiple functional projects to understand data usage and implications for data
migration.

3 Assist in designing, planning and managing the data migration process.

4. Work with subject matter experts and project team to identify, define, collate, document and
communicate the data migration requirements.

5. Prepare data migration plans including migration risk, milestones, quality and business
sign-off details.

6. Manage assigned risks and monitor potential impacts as part of the data migration plan.

7. Develop best practice, processes, and standards for effectively carrying out data
migration activities.

8. Perform source system data analysis in order to manage source to target data mapping.

9. Perform migration and testing of static data and transaction data from one core
system to another.

10. Perform data migration audit, reconciliation and exception reporting.

11. Manage cross-program

Top 3 MUST have skills:
1. Data Conversion / Migration
2. Team Management and work planning
3. SAP S4 HANA",3750.0
9,9,ANTAES ASIA PTE. LTD.,analyst,MCF-2021-0141680,Islandwide,full time,Senior Executive,10,banking and finance,"$7,000to$11,000",Monthly,Posted 27 May 2021,Closing on 26 Jun 2021,"Roles & Responsibilities
Job Description:
- Contribute to IT projects in the banking industry for Antaes clients
- Analyze and prepare the DPP requirements (topics on data protection, data leakage prevention, GDPR).
- Perform inventory and analysis on WM applications to analyze the data maintained in WM
- Liaises between the divisions’ BAs, developers and testers on application and requirements understanding
- Prepare KPI measurements and gather evidences as needed for DPP
- Ensure the quality of deliverables from the IT teams based on the requirements defined
- Assists with UAT activities as needed
- Verifies accuracy, coherency and testability of the requirements
- Establishes and maintains detailed solution based on use cases with the divisions BA
- Identify and raise risks and issues to Project Manager and help to mitigate
- Regular reporting to the Project Manager
- Assist the divisions with their inquiries related to the requirements
- Constant communications and interaction with IT teams on other WM and CIB sites in Asia, Europe, Middle East and Latin America.
- Contribute to the promotion of Antaes services on top of assistance provided to clients
Job Requirements:
- Bachelor’s Degree or equivalent experience required
- 10 years of overall experience in IT development activities
- At least 5 years of experience as a business analyst with experience on sensitive personal data protection in private banking
- Exposure to relational databases (i.e. Microsoft SQL Server, Oracle Database, MySQL, IBM DB2, etc.)
- Strong experience on access management and data protection
- Has the ability to understand, explain and support change.
- Client focused/Critical thinker and has ability to synthesize and simplify.
- Ability to anticipate business/strategic evolution
- Ability to collaborate/teamwork
- Must have good organization skills
- CFA, PMP, Business Analyst certifications are a plus
- Excellent communication skills in English, both oral and written.
- Strong analytical and product management skills required
- Ability to interact professionally with a diverse group, managers, subject matter experts and technical teams.",9000.0
